"Timestamp","Did you have any experiments in your paper? If no, you are already done with the survey, thank you and have a good day. :)","Did you optimize your hyperparameters?","If yes, how did you tune them?","How many hyperparameters did you optimize?","How many trials/experiments in total during the optimization? (How many different set of hyperparameters were evaluated)","Did you optimize the hyperparameters of your baselines? (The other models or algorithms you compared with)","How many baselines (models, algos) did you compare with? (If different across datasets, please report maximum number, not total)","How many datasets or tasks did you compare on?","How many results did you report for each model (ex: for different seeds).","If you answered 1 to previous question, did you use the same seed in all your experiments? (If you did not seed your experiments, you should answer 'no' to this question.)"
"2019/12/24 6:02:41 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","Yes","3-5","1","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 6:09:51 AM EST","Yes","No","Grid Search","More than 5","More than 500","Not applicable","3-5","2","More than 10","N/A"
"2019/12/24 6:16:28 AM EST","Yes","No","","","","","","","",""
"2019/12/24 6:19:07 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","2","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 6:34:34 AM EST","Yes","Yes","Grid Search;Random Search","More than 5","100-200","Yes","3-5","2","3-5","N/A"
"2019/12/24 6:42:42 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","3-5","3-5","Yes, all on the same seed"
"2019/12/24 6:46:46 AM EST","Yes","No","Manual Tuning","1","1-50","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 6:46:51 AM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Yes","2","3-5","1","Yes, all on the same seed"
"2019/12/24 6:50:43 AM EST","Yes","Yes","Grid Search","3-5","More than 500","Yes","1","More than 10","More than 10","N/A"
"2019/12/24 8:12:38 AM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","1","1","1","Yes, all on the same seed"
"2019/12/24 8:21:40 AM EST","Yes","Yes","Grid Search","2","1-50","Yes","2","1","3-5","Yes, all on the same seed"
"2019/12/24 9:12:11 AM EST","Yes","Yes","Grid Search","More than 5","200-500","Yes","3-5","More than 10","3-5","N/A"
"2019/12/24 9:27:11 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","200-500","Not applicable","2","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 9:28:13 AM EST","Yes","Yes","Grid Search","2","50-100","Yes","2","3-5","3-5","N/A"
"2019/12/24 9:39:54 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","2","2","3-5","N/A"
"2019/12/24 10:11:08 AM EST","Yes","Yes","Manual Tuning;Random Search","1","1-50","Yes","3-5","More than 10","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 10:13:01 AM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","2","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 10:17:00 AM EST","Yes","Yes","Manual Tuning","1","1-50","Not applicable","More than 10","2","5-10","N/A"
"2019/12/24 10:28:29 AM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 10:39:36 AM EST","Yes","Yes","Grid Search","2","1-50","Yes","1","1","3-5","N/A"
"2019/12/24 10:43:36 AM EST","Yes","Yes","Manual Tuning;Random Search","More than 5","1-50","Yes","2","3-5","3-5","N/A"
"2019/12/24 11:13:41 AM EST","Yes","Yes","Manual Tuning","More than 5","50-100","Yes","3-5","2","1","Yes, all on the same seed"
"2019/12/24 11:34:30 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","2","3-5","3-5","N/A"
"2019/12/24 11:39:26 AM EST","Yes","Yes","Manual Tuning;Random Search;Other","More than 5","100-200","Yes","3-5","2","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 12:26:43 PM EST","Yes","Yes","Manual Tuning;Grid Search","2","1-50","Yes","3-5","3-5","1","Yes, all on the same seed"
"2019/12/24 12:29:57 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 12:32:09 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","3-5","5-10","5-10",""
"2019/12/24 1:05:27 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","Yes","3-5","3-5","3-5","Yes, all on the same seed"
"2019/12/24 1:10:28 PM EST","Yes","Yes","Grid Search","3-5","More than 500","Yes","2","2","1","Yes, all on the same seed"
"2019/12/24 1:23:48 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","5-10","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 1:41:14 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","5-10","3-5","3-5","Yes, all on the same seed"
"2019/12/24 3:49:01 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","2","3-5","5-10","N/A"
"2019/12/24 4:04:28 PM EST","Yes","Yes","Other","3-5","1-50","Yes","1","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 4:31:29 PM EST","Yes","No","","","","Not applicable","2","2","2","N/A"
"2019/12/24 5:08:00 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","3-5",""
"2019/12/24 5:56:04 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 6:03:32 PM EST","Yes","Yes","Manual Tuning;Other","3-5","1-50","Yes","3-5","3-5","More than 10","N/A"
"2019/12/24 6:21:21 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Yes","More than 10","1","3-5","N/A"
"2019/12/24 11:07:50 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","3-5","3-5","Yes, all on the same seed"
"2019/12/24 11:11:41 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 11:32:52 PM EST","Yes","Yes","Grid Search","3-5","100-200","Not applicable","","5-10","More than 10","N/A"
"2019/12/25 12:33:32 AM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","2","5-10","N/A"
"2019/12/25 12:38:04 AM EST","Yes","Yes","Other","1","1-50","Not applicable","1","1","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/25 12:55:43 AM EST","Yes","No","Other","1","1-50","No","1","3-5","5-10","Yes, all on the same seed"
"2019/12/25 1:37:32 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","Yes","3-5","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/25 1:48:23 AM EST","Yes","No","","","","Yes","5-10","3-5","3-5","Yes, all on the same seed"
"2019/12/25 2:06:20 AM EST","No","","","","","","","","",""
"2019/12/25 2:25:07 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","3-5","N/A"
"2019/12/25 2:28:47 AM EST","Yes","Yes","Manual Tuning;Other","3-5","200-500","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/25 2:46:22 AM EST","Yes","Yes","Grid Search","More than 5","100-200","Yes","3-5","3-5","3-5","Yes, all on the same seed"
"2019/12/25 3:20:07 AM EST","Yes","Yes","Grid Search","1","1-50","Yes","5-10","3-5","5-10","Yes, all on the same seed"
"2019/12/25 6:26:52 AM EST","Yes","Yes","Grid Search","1","1-50","Not applicable","2","More than 10","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/25 7:30:12 AM EST","Yes","Yes","Manual Tuning","3-5","100-200","Yes","3-5","3-5","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/25 9:00:23 AM EST","Yes","No","","","","","","","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/25 9:12:03 AM EST","No","","","","","","","","",""
"2019/12/25 2:06:33 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","3-5","1","Yes, all on the same seed"
"2019/12/25 2:10:48 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","3-5","More than 10","N/A"
"2019/12/25 2:45:14 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","2","3-5","N/A"
"2019/12/25 5:21:53 PM EST","Yes","Yes","Random Search","More than 5","More than 500","Yes","2","3-5","5-10",""
"2019/12/25 6:28:26 PM EST","No","No","","","","","","","",""
"2019/12/25 8:54:27 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Yes","5-10","3-5","3-5","N/A"
"2019/12/25 9:11:51 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","3-5","5-10","3-5","N/A"
"2019/12/25 9:12:19 PM EST","Yes","No","","","","No","2","3-5","3-5",""
"2019/12/25 9:28:06 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Not applicable","3-5","3-5","3-5",""
"2019/12/25 11:30:29 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Yes","3-5","More than 10","1","Yes, all on the same seed"
"2019/12/26 12:11:16 AM EST","Yes","Yes","Manual Tuning","3-5","50-100","Yes","2","3-5","5-10","all multiple different seeds"
"2019/12/26 4:23:52 AM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","More than 10","2","1","Yes, all on the same seed"
"2019/12/26 8:05:03 AM EST","Yes","Yes","Grid Search","2","1-50","Yes","3-5","3-5","5-10","N/A"
"2019/12/26 10:18:31 AM EST","Yes","No","","1","1-50","No","3-5","3-5","1","Yes, all on the same seed"
"2019/12/26 1:46:43 PM EST","Yes","Yes","Random Search","1","1-50","Yes","3-5","2","1","Yes, all on the same seed"
"2019/12/26 2:21:55 PM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","2","3-5","5-10","N/A"
"2019/12/26 2:23:37 PM EST","Yes","Yes","Manual Tuning","1","1-50","Not applicable","","","",""
"2019/12/26 3:39:28 PM EST","Yes","Yes","Grid Search","1","1-50","Not applicable","More than 10","More than 10","1","not applicable. there's no seed because we use pre-trained models"
"2019/12/26 3:59:29 PM EST","Yes","Yes","Grid Search","3-5","50-100","Not applicable","5-10","1","3-5","Yes, all on the same seed"
"2019/12/26 4:54:15 PM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","3-5","2","More than 10",""
"2019/12/26 9:54:15 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","Not applicable","5-10","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/26 10:38:21 PM EST","Yes","Yes","Other","More than 5","1-50","Yes","2","5-10","3-5",""
"2019/12/26 11:10:39 PM EST","Yes","No","","","1-50","Not applicable","","3-5","5-10","N/A"
"2019/12/27 3:28:59 AM EST","Yes","Yes","Other","3-5","1-50","No","5-10","2","1","Yes, all on the same seed"
"2019/12/27 3:30:29 AM EST","Yes","Yes","Other","2","100-200","Yes","1","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/27 4:11:13 AM EST","Yes","Yes","Grid Search","3-5","1-50","Not applicable","3-5","2","3-5","N/A"
"2019/12/27 4:54:44 AM EST","Yes","Yes","Manual Tuning;Grid Search","2","1-50","Yes","1","1","1","Yes, all on the same seed"
"2019/12/27 5:09:23 AM EST","Yes","Yes","Manual Tuning","More than 5","50-100","Not applicable","2","1","1","Yes, all on the same seed"
"2019/12/27 5:42:01 AM EST","Yes","Yes","Other","2","1-50","Yes","3-5","3-5","3-5",""
"2019/12/27 6:45:13 AM EST","Yes","Yes","Grid Search","More than 5","1-50","Yes","3-5","2","5-10",""
"2019/12/27 7:52:41 AM EST","Yes","Yes","Manual Tuning;Random Search","3-5","1-50","No","3-5","5-10","5-10","N/A"
"2019/12/27 9:30:45 AM EST","Yes","Yes","Grid Search;Other","More than 5","50-100","Yes","3-5","3-5","2","N/A"
"2019/12/27 11:28:19 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","2","1","3-5","N/A"
"2019/12/27 2:32:54 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Yes","3-5","2","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/27 4:50:16 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","1","2","3-5","N/A"
"2019/12/27 5:16:15 PM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","5-10","5-10","3-5","N/A"
"2019/12/27 6:23:28 PM EST","Yes","Yes","Grid Search","2","50-100","Yes","2","3-5","3-5","Yes, all on the same seed"
"2019/12/28 3:28:40 AM EST","Yes","Yes","Grid Search","1","1-50","Yes","5-10","3-5","3-5","Yes, all on the same seed"
"2019/12/28 5:25:20 AM EST","Yes","Yes","Random Search","More than 5","More than 500","Yes","5-10","5-10","More than 10","Yes, all on the same seed"
"2019/12/28 12:28:30 PM EST","Yes","Yes","Grid Search","More than 5","50-100","Yes","3-5","3-5","1","Yes, all on the same seed"
"2019/12/28 6:00:07 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","2","3-5","N/A"
"2019/12/28 11:33:49 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","5-10","2","3-5","The seed has a completely different meaning for different methods or data set sizes (this is very common, not only in ML). Thus, using the same seed for different methods (e.g., baselines) or for different data sets, while technically possible, would be pointless and a sign of the researcher not understanding their method. So is asking this question :). Comparing random seeds only makes sense when all other parameters (model & dataset) are strictly identical."
"2019/12/29 7:43:12 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","2","3-5","More than 10","N/A"
"2019/12/29 10:11:23 AM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","2","3-5","3-5","N/A"
"2019/12/29 10:46:16 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","3-5","3-5","N/A"
"2019/12/30 3:06:07 AM EST","No","","","","","","","","",""
"2019/12/30 7:12:54 AM EST","Yes","Yes","Grid Search","2","1-50","Yes","3-5","2","3-5","Yes, all on the same seed"
"2019/12/30 1:24:33 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","1","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/30 5:47:12 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","5-10","2","1","Yes, all on the same seed"
"2019/12/31 12:18:26 AM EST","Yes","Yes","Grid Search","3-5","100-200","Yes","3-5","3-5","3-5","Yes, all on the same seed"
"2020/01/01 6:25:51 AM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","5-10","3-5","5-10","N/A"
"2020/01/01 9:38:57 AM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","100-200","Yes","More than 10","5-10","3-5","N/A"
"2020/01/01 11:55:34 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","3-5",""
"2020/01/01 4:18:02 PM EST","Yes","Yes","Random Search","3-5","1-50","Yes","5-10","More than 10","5-10","N/A"
"2020/01/01 8:48:23 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","5-10","5-10","5-10",""
"2020/01/01 9:43:52 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","5-10","3-5","N/A"
"2020/01/02 3:33:43 AM EST","No","","","","","","","","",""
"2020/01/02 5:49:36 AM EST","Yes","Yes","Manual Tuning;Grid Search","2","1-50","Yes","3-5","More than 10","5-10","N/A"
"2020/01/02 5:50:00 AM EST","Yes","Yes","Grid Search","2","1-50","Yes","3-5","3-5","1","Yes, all on the same seed"
"2020/01/02 7:47:54 AM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","2","3-5","1","Yes, all on the same seed"
"2020/01/02 7:51:31 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","200-500","Yes","3-5","5-10","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2020/01/02 11:24:48 AM EST","Yes","Yes","Grid Search","1","1-50","Yes","5-10","3-5","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2020/01/02 11:43:28 AM EST","Yes","No","","","","Not applicable","3-5","3-5","3-5",""
"2020/01/02 3:04:28 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","5-10","More than 10","5-10","I didn't answer 1, but to clarify we report the median score over 10 random seeds for each model/task. "
"2020/01/03 4:03:54 AM EST","Yes","Yes","Random Search","2","1-50","Not applicable","3-5","5-10","3-5","N/A"
"2020/01/03 6:33:11 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","3-5","2","3-5","N/A"
"2020/01/03 3:40:55 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","3-5","3-5","Yes, all on the same seed"
"2020/01/04 2:06:31 PM EST","Yes","Yes","Random Search","More than 5","More than 500","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2020/01/05 7:50:15 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","5-10","3-5","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2020/01/06 3:44:48 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","3-5","2","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2020/01/06 5:34:14 AM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","1","2","1","Yes, all on the same seed"
"2020/01/06 2:14:05 PM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","3-5","2","More than 10","N/A"
"2020/01/07 12:58:58 AM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","1","2","3-5","N/A"
"2020/01/07 7:32:17 AM EST","Yes","No","","","","Not applicable","2","2","1","Yes, all on the same seed"
"2020/01/07 9:27:37 AM EST","Yes","Yes","Manual Tuning","1","1-50","Yes","3-5","5-10","1","Yes, all on the same seed"
"2020/01/08 4:51:27 PM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","2","2","5-10","Yes, all on the same seed"
"2020/01/09 9:02:20 AM EST","Yes","No","","","","Not applicable","","5-10","2","N/A"
"2020/01/10 5:03:52 AM EST","No","","","","","","","","",""
"2020/01/10 3:26:31 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Not applicable","","","","N/A"
